was_delayed,daily_rainfall,did_rain,Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time
False,0.0,False,US,02/04/2013,2133,N953UW,LGA,15:00
False,0.0,False,US,02/04/2013,2135,N952UW,LGA,16:00
False,0.0,False,US,02/04/2013,2137,N949UW,LGA,17:00
False,0.0,False,US,02/04/2013,2139,N965UW,LGA,18:00
False,0.0,False,US,02/04/2013,2141,N953UW,LGA,19:00
False,0.0,False,US,02/04/2013,2143,N952UW,LGA,20:00
True,0.0,False,US,02/04/2013,2145,N952UW,LGA,06:45
False,0.03,True,US,02/05/2013,0090,N640AW,PHX,10:00
False,0.03,True,US,02/05/2013,0280,N829AW,PHX,06:00
False,0.03,True,US,02/05/2013,0303,N658AW,CLT,09:35
False,0.03,True,US,02/05/2013,0722,N740UW,PHL,18:30
False,0.03,True,US,02/05/2013,0754,N965UW,PHL,15:30
False,0.03,True,US,02/05/2013,0897,N955UW,PHL,09:30
False,0.03,True,US,02/05/2013,0967,N709UW,PHL,07:30
False,0.03,True,US,02/05/2013,1029,N565UW,CLT,08:00
False,0.03,True,US,02/05/2013,1105,N565UW,CLT,14:40
False,0.03,True,US,02/05/2013,1239,N946UW,PHL,08:30
False,0.03,True,US,02/05/2013,1249,N704US,CLT,05:00
False,0.03,True,US,02/05/2013,1289,N944UW,PHL,05:30
False,0.03,True,US,02/05/2013,1295,N108UW,PHL,07:00
False,0.03,True,US,02/05/2013,1521,N170US,CLT,06:00
False,0.03,True,US,02/05/2013,1605,N952UW,PHL,13:30
False,0.03,True,US,02/05/2013,1635,N961UW,PHL,16:30
False,0.03,True,US,02/05/2013,1667,N752US,CLT,17:02
False,0.03,True,US,02/05/2013,1727,N709UW,PHL,12:30
False,0.03,True,US,02/05/2013,1747,N556UW,CLT,12:45
False,0.03,True,US,02/05/2013,1779,N953UW,PHL,14:30
False,0.03,True,US,02/05/2013,1807,N746UW,PHL,06:30
False,0.03,True,US,02/05/2013,1819,N959UW,PHL,10:30
False,0.03,True,US,02/05/2013,1827,N958UW,PHL,11:30
False,0.03,True,US,02/05/2013,1829,N953UW,PHL,19:30
False,0.03,True,US,02/05/2013,1845,N721UW,PHL,17:30
False,0.03,True,US,02/05/2013,1981,N540UW,CLT,11:10
False,0.03,True,US,02/05/2013,2021,N114UW,DCA,06:00
False,0.03,True,US,02/05/2013,2023,N752US,DCA,07:00
False,0.03,True,US,02/05/2013,2025,N756US,DCA,08:00
False,0.03,True,US,02/05/2013,2027,N764US,DCA,09:00
False,0.03,True,US,02/05/2013,2029,N733UW,DCA,10:00
False,0.03,True,US,02/05/2013,2031,N118US,DCA,11:00
False,0.03,True,US,02/05/2013,2033,N752US,DCA,12:00
False,0.03,True,US,02/05/2013,2035,N756US,DCA,13:00
False,0.03,True,US,02/05/2013,2037,N764US,DCA,14:00
False,0.03,True,US,02/05/2013,2039,N733UW,DCA,15:00
False,0.03,True,US,02/05/2013,2041,N118US,DCA,16:00
False,0.03,True,US,02/05/2013,2043,N714US,DCA,17:00
False,0.03,True,US,02/05/2013,2045,N756US,DCA,18:00
False,0.03,True,US,02/05/2013,2047,N764US,DCA,19:00
False,0.03,True,US,02/05/2013,2049,N733UW,DCA,20:00
False,0.03,True,US,02/05/2013,2115,N953UW,LGA,06:00
False,0.03,True,US,02/05/2013,2117,N949UW,LGA,07:00
False,0.03,True,US,02/05/2013,2119,N723UW,LGA,08:00
False,0.03,True,US,02/05/2013,2121,N952UW,LGA,09:00
False,0.03,True,US,02/05/2013,2123, ,LGA,10:00
False,0.03,True,US,02/05/2013,2125,N965UW,LGA,11:00
False,0.03,True,US,02/05/2013,2127,N949UW,LGA,12:00
False,0.03,True,US,02/05/2013,2129,N947UW,LGA,13:00
False,0.03,True,US,02/05/2013,2131,N955UW,LGA,14:00
False,0.03,True,US,02/05/2013,2133,N950UW,LGA,15:00
False,0.03,True,US,02/05/2013,2135,N949UW,LGA,16:00
False,0.03,True,US,02/05/2013,2137,N947UW,LGA,17:00
False,0.03,True,US,02/05/2013,2139,N955UW,LGA,18:00
False,0.03,True,US,02/05/2013,2141,N950UW,LGA,19:00
False,0.03,True,US,02/05/2013,2143,N949UW,LGA,20:00
False,0.03,True,US,02/05/2013,2145,N965UW,LGA,06:45
True,0.05,True,US,02/06/2013,0225,N601AW,PHX,16:20
False,0.05,True,US,02/06/2013,0280,N820AW,PHX,06:00
False,0.05,True,US,02/06/2013,0303,N653AW,CLT,09:35
False,0.05,True,US,02/06/2013,0604,N679AW,PHX,09:55
False,0.05,True,US,02/06/2013,0722,N716UW,PHL,18:30
False,0.05,True,US,02/06/2013,0754,N958UW,PHL,15:30
False,0.05,True,US,02/06/2013,0897,N952UW,PHL,09:30
False,0.05,True,US,02/06/2013,0967,N714US,PHL,07:30
False,0.05,True,US,02/06/2013,1021,N192UW,CLT,08:00
False,0.05,True,US,02/06/2013,1097,N959UW,PHL,20:30
False,0.05,True,US,02/06/2013,1239,N946UW,PHL,08:30
False,0.05,True,US,02/06/2013,1249,N740UW,CLT,05:00
False,0.05,True,US,02/06/2013,1289,N947UW,PHL,05:30
False,0.05,True,US,02/06/2013,1521,N560UW,CLT,06:00
False,0.05,True,US,02/06/2013,1543,N566UW,CLT,14:40
False,0.05,True,US,02/06/2013,1605,N961UW,PHL,13:30
False,0.05,True,US,02/06/2013,1635,N944UW,PHL,16:30
True,0.05,True,US,02/06/2013,1667,N714US,CLT,17:02
True,0.05,True,US,02/06/2013,1727,N714US,PHL,12:30
False,0.05,True,US,02/06/2013,1747,N559UW,CLT,12:45
True,0.05,True,US,02/06/2013,1779,N952UW,PHL,14:30
False,0.05,True,US,02/06/2013,1788,N180US,CLT,19:00
False,0.05,True,US,02/06/2013,1807,N700UW,PHL,06:30
False,0.05,True,US,02/06/2013,1819,N958UW,PHL,10:30
True,0.05,True,US,02/06/2013,1827,N944UW,PHL,11:30
False,0.05,True,US,02/06/2013,1829,N955UW,PHL,19:30
False,0.05,True,US,02/06/2013,1845,N767UW,PHL,17:30
False,0.05,True,US,02/06/2013,1981,N543UW,CLT,11:10
False,0.05,True,US,02/06/2013,1991,N103US,PHL,07:00
False,0.05,True,US,02/06/2013,2021,N118US,DCA,06:00
False,0.05,True,US,02/06/2013,2023,N763US,DCA,07:00
False,0.05,True,US,02/06/2013,2025,N770UW,DCA,08:00
False,0.05,True,US,02/06/2013,2027,N733UW,DCA,09:00
False,0.05,True,US,02/06/2013,2029,N750UW,DCA,10:00
False,0.05,True,US,02/06/2013,2031,N118US,DCA,11:00
False,0.05,True,US,02/06/2013,2033,N763US,DCA,12:00
False,0.05,True,US,02/06/2013,2035,N770UW,DCA,13:00
False,0.05,True,US,02/06/2013,2037,N733UW,DCA,14:00
False,0.05,True,US,02/06/2013,2039,N750UW,DCA,15:00
False,0.05,True,US,02/06/2013,2041,N118US,DCA,16:00
False,0.05,True,US,02/06/2013,2043,N764US,DCA,17:00
False,0.05,True,US,02/06/2013,2045,N766US,DCA,18:00
False,0.05,True,US,02/06/2013,2047,N742PS,DCA,19:00
